age,bicycle,educ,children,heduc,urban,frsthalf
36,0,12,6,12,0,0
31,0,0,6,0,0,0
24,0,5,3,8,1,0
41,0,7,8,1,0,1
30,1,0,4,3,1,1
20,1,7,1,10,1,0
45,0,6,5,4,0,0
32,0,0,4,0,0,0
25,1,5,4,0,1,0
48,0,0,10,0,1,1
31,0,0,2,6,0,1
20,1,12,1,10,0,0
26,0,0,3,0,0,0
29,1,0,4,0,0,1
25,1,6,2,0,1,0
45,0,4,6,0,0,0
48,0,4,8,3,1,1
27,1,5,4,0,0,1
27,0,7,2,8,1,1
25,1,7,3,5,0,0
23,0,2,1,10,1,0
38,0,7,8,0,0,1
41,1,0,3,0,1,1
25,0,5,2,0,0,1
44,0,7,2,12,1,0
24,1,7,2,7,1,1
39,0,0,5,7,1,1
47,1,10,4,10,0,0
49,0,0,3,0,0,0
29,0,0,2,0,0,0
41,1,12,3,12,1,0
33,0,0,5,0,0,0
29,1,5,5,0,0,0
23,1,8,2,12,1,0
27,1,0,6,7,0,1
22,0,0,2,0,0,1
48,1,8,4,12,1,1
30,0,7,4,10,1,1
48,0,4,3,0,1,1
47,0,0,5,0,0,0
19,0,7,1,0,0,1
28,0,7,3,7,1,1
42,0,0,3,0,0,1
32,0,9,6,0,1,1
34,0,10,2,7,1,1
34,0,0,7,0,0,0
20,1,0,1,15,1,0
33,0,0,4,0,1,0
20,1,9,0,7,0,0
22,0,7,0,7,1,1
40,1,4,7,7,1,1
31,0,12,3,10,1,1
26,0,8,3,10,1,1
24,0,0,1,7,1,0
26,0,7,3,9,1,1
37,1,0,8,4,1,1
37,1,12,4,12,1,1
33,0,5,2,5,1,0
34,0,5,2,10,1,0
28,0,10,3,10,1,0
24,1,7,2,0,0,0
39,0,0,7,0,1,1
23,0,7,2,0,1,0
32,0,4,3,7,1,1
44,0,10,4,12,1,0
31,0,2,3,0,0,0
33,0,0,1,7,1,1
24,1,7,0,0,1,0
24,0,6,3,0,0,1
36,0,0,5,0,0,0
39,0,10,1,10,1,1
21,0,0,0,6,1,1
34,1,7,3,7,1,1
48,0,12,0,0,1,1
28,0,10,2,10,1,1
30,0,4,3,7,0,0
28,0,0,3,0,0,1
38,0,0,5,0,0,1
24,0,6,3,0,0,1
38,0,5,4,3,1,0
24,0,14,2,10,0,1
30,0,5,1,7,1,0
33,1,2,3,6,1,0
24,1,12,1,10,1,0
34,1,12,3,14,1,1
45,0,0,8,0,0,1
33,0,3,6,0,0,0
32,0,7,3,4,1,1
43,1,3,7,0,0,1
26,1,6,4,10,0,1
40,1,0,6,4,1,1
36,0,0,7,0,0,0
28,0,7,1,9,0,0
34,1,8,4,7,0,0
31,1,0,2,9,1,0
30,0,0,0,0,0,1
37,1,4,7,0,0,0
27,1,0,3,8,0,1
22,1,0,1,0,0,0
44,0,0,8,0,0,1
35,0,0,7,0,0,0
38,1,7,4,10,0,0
47,0,3,2,6,0,1
27,0,12,3,10,1,0
41,1,5,5,2,1,1
29,1,0,5,0,1,0
31,1,4,5,7,1,1
34,0,9,3,19,1,1
32,0,7,4,3,0,1
27,0,7,3,7,1,1
19,0,6,0,10,1,0
18,0,7,2,0,1,0
24,0,0,2,0,0,0
29,0,0,4,5,0,1
21,0,0,1,0,1,1
22,1,7,2,5,0,1
44,0,6,6,0,0,1
27,0,7,3,7,1,1
38,1,7,9,0,0,1
25,0,0,3,1,1,0
31,0,0,4,7,0,1
24,0,0,3,7,0,1
30,0,0,3,5,1,0
32,1,6,4,0,1,1
33,0,0,5,0,0,0
25,0,12,1,16,1,0
25,0,12,1,14,1,1
31,0,6,7,0,1,1
32,1,7,3,7,1,1
24,0,0,3,0,0,1
38,0,5,6,7,1,0
32,0,0,1,0,0,1
24,0,7,3,6,0,1
28,1,0,3,6,0,0
34,0,7,3,1,1,0
31,0,0,0,0,0,1
23,0,7,1,12,1,0
29,0,12,2,12,1,1
37,0,1,7,0,0,0
43,0,10,3,7,1,0
30,0,0,3,5,0,1
48,0,4,4,0,0,1
41,1,0,4,0,0,1
32,1,2,4,7,0,1
25,1,2,4,0,0,1
39,1,11,4,16,1,1
35,1,7,3,0,0,1
36,1,7,4,10,1,1
41,0,0,1,1,1,1
28,0,10,0,10,0,0
31,0,0,5,7,0,1
25,0,0,1,0,0,0
20,1,10,0,7,0,0
43,1,1,3,6,0,0
28,0,7,4,10,1,1
38,1,10,4,12,0,1
38,0,0,9,0,0,0
33,0,5,7,3,1,0
35,0,3,5,0,0,1
31,0,5,3,7,1,1
25,0,10,1,0,1,0
40,0,5,2,6,0,1
34,0,5,5,6,1,0
24,0,12,1,7,1,1
36,0,4,2,12,1,1
28,1,10,2,12,0,1
24,1,5,3,0,0,0
30,0,4,6,10,1,0
32,1,7,4,7,0,1
28,1,10,2,7,0,1
27,0,0,0,2,0,1
46,0,4,6,2,0,0
32,1,12,2,10,0,0
39,0,7,4,9,0,0
27,0,10,3,12,0,0
37,0,7,4,7,1,0
22,0,6,2,10,0,0
26,0,4,4,0,1,0
26,0,10,2,7,0,1
32,0,7,5,10,1,1
40,1,4,6,0,1,0
32,0,5,3,7,1,0
24,0,9,1,0,1,1
19,0,8,1,0,0,0
49,0,0,0,0,0,1
40,1,10,4,10,0,0
36,0,7,1,0,1,1
25,1,0,3,0,1,1
30,0,7,0,3,0,1
26,0,5,2,10,0,1
23,0,10,1,10,1,0
32,1,6,6,7,0,1
34,0,6,4,7,1,1
45,0,0,13,0,0,0
26,0,7,2,5,1,1
31,0,7,5,0,0,1
25,0,7,1,7,1,0
33,0,3,4,0,1,1
30,0,0,6,4,1,1
31,1,4,7,6,1,1
29,1,4,4,7,1,0
28,0,1,3,0,1,1
37,1,0,4,0,1,1
30,0,0,3,0,0,1
27,1,4,5,7,1,1
31,1,12,3,15,1,0
31,0,0,3,7,1,1
24,0,0,2,0,0,1
40,0,8,7,0,0,0
43,1,1,8,0,0,1
30,1,12,3,7,1,1
47,1,1,8,0,0,0
34,0,1,6,0,0,1
30,0,5,1,7,1,1
25,1,7,2,7,1,1
35,0,0,6,7,1,0
28,1,0,5,0,1,1
25,0,0,1,6,0,1
41,1,0,9,7,0,1
38,1,7,6,7,1,1
21,0,7,1,0,1,0
30,0,0,3,0,0,0
25,0,10,1,12,0,1
48,0,0,10,0,0,1
38,0,6,6,0,0,1
44,0,8,7,9,1,0
38,0,2,8,0,1,1
30,0,6,0,5,1,1
26,0,0,4,0,0,0
39,1,3,4,3,1,1
20,1,7,0,7,1,0
29,1,6,3,7,0,1
24,0,6,3,0,1,1
37,1,0,1,0,1,0
31,0,12,3,12,1,0
25,0,0,2,3,1,1
47,0,0,1,0,0,1
32,0,6,3,7,1,0
35,0,7,5,6,0,1
42,0,3,4,2,0,1
29,1,12,3,17,1,1
28,0,0,5,0,0,0
36,1,2,8,0,0,0
24,0,7,2,7,0,1
26,0,3,3,0,0,1
32,0,0,1,10,1,0
32,0,0,3,0,1,1
21,0,6,3,0,0,1
41,0,0,3,0,0,0
33,0,7,4,3,0,0
27,0,10,1,7,1,1
39,1,10,2,12,1,1
39,0,2,8,0,0,1
19,0,7,1,2,0,1
46,0,3,5,6,0,1
31,0,0,2,0,1,1
45,0,0,6,0,1,1
22,0,2,2,0,0,0
36,0,0,7,0,0,1
43,1,4,8,0,0,1
39,1,7,4,4,1,1
23,1,7,1,0,0,1
37,0,12,7,10,0,0
21,0,0,2,0,0,0
26,0,2,4,3,1,0
25,0,12,2,12,1,0
22,0,8,2,10,1,1
23,0,6,0,10,0,0
33,0,0,3,0,0,0
28,0,7,2,0,1,1
35,0,0,3,7,0,0
46,0,0,0,0,0,0
26,1,8,4,6,0,1
35,1,5,5,10,1,0
22,0,9,3,9,1,1
19,0,7,0,2,1,0
35,0,7,3,7,1,1
30,0,5,5,7,0,0
35,0,7,4,7,0,1
32,0,7,0,12,1,0
41,0,10,6,16,0,0
23,1,10,1,10,1,0
26,1,5,2,12,1,1
27,0,10,3,10,1,1
32,0,0,3,5,1,1
26,0,3,0,7,1,0
29,0,0,3,0,0,0
